RecipeName,TimeToCook,Ingredients,Instructions
Palak Paneer,1hr,2 (141.74  g) bag   Baby Spinach; 1 onion; 0.61 cinnamon; 0.61 ground cardamom; 2.46 ground ginger; 1.23 garlic; 59.14 chopped tomato; 22.18 plain yogurt; 7.39 coriander powder; 1.23 garam masala; 1.23 paprika; 1.23 salt; 113.39 paneer cheese; 29.57 heavy cream,"Cut spinach into shreds and cook in 3 tablespoons water until tender; remove from heat. Saute onion, cinnamon, cardamom, and ginger in 1-2 tablespoons ghee or oil until onion is translucent. Then add garlic and chopped tomatoes, and reduce heat. Cook this briefly and slowly blend in yogurt a little at a time to prevent curdling. Add coriander, garam masala, paprika, and salt, mixing well. Add cooked spinach with liquid, cover and simmer on low heat for approximately 20-30 minutes. Remove from heat. Take half of spinach mixture and puree in food processor or blender, and return to mixture and stir. Slowly stir in heavy cream, and heat through on low heat. Add paneer cubes. Serve."
Baked Potato Samosas,55mins,"0 idaho potatoes; 0 salt; 2.77 extra virgin olive oil; 0 onion; 0 jalapeno pepper, seeds and stem removed, finely chopped; 0 inch    fresh gingerroot, peeled, grated; 0 garlic clove; 0.92 ground coriander; 1.84 curry powder; 0.92 ground cumin; 0.46 ground allspice; 0.11 cinnamon; 0 black pepper; 0 roma tomato; 11.09 ml    frozen peas; 11.09-22.18 ml    vegetable stock; 0 flour; 0 nine inch rounds refrigerated ready made pie dough; 0 egg; 0 fresh mint leaves; 0 fresh cilantro leaves; 0 jalapeno pepper, seeds and stem removed; 0.92 sugar; 0 limes; 2.77 extra virgin olive oil; 0 garlic clove; 0 inch    fresh gingerroot","Preheat oven to 400*F. Cook the potatoes in a large pan of boiling salted water until tender, 5-7 minutes. Drain and reserve in the same pot you cooked them inches. Heat the oil in a large skillet over medium high heat. Add the onions and cook until soft, 5 minutes, then addd the jalapeno, ginger, garlic, coriander, curry powder, cumin, allspice, cinnamon, and salt and pepper. Cook for about 3 minutes more. Stir in the drained potatoes, tomato, and peas. Cook for another minute. Stir in enough of the stock to moisten the mixture, then remove it from the heat and let cool. On a lightly floured surface, unroll ;the pie dough. Cut each dough round into 8 equal wedges, like a pizza. Spoon 1 tbls. of the potato filling onto the middle of each wedge. Brush the edges of the dough with the egg wash and fold up, bringing the three points together over the filling, then pinching at the seams to form a small pyramid. Transfer to a baking sheet and brush the samosas with the egg wash. Bake 15-20 minutes, until golden brown. Combine the mint, cilantro, jalapeno, sugar, salt, lime juice, 1 tbls. water, and the oil in the bowl of a food processor. Grate the garlic and ginger directly into the bowl, then puree until smooth. Transfer to a small serving bowl. Serve the samosas hot out of the oven with the mint cilatro dipping sauce."
Onion Bhaji,20mins,56.69 gram flour; 0.61 chili powder; 1.23 turmeric; 1.23 baking powder; 0.61 fennel seed; 0.61 ml    onion seeds; 0.61 cumin seed; 1 onions; 1 green chilies; 59.14 fresh coriander leaves; 0 water; 0 to taste    oil (for deep frying),"Sift the flour, chilli powder, turmeric, baking powder and salt together in a bowl. Get as much air into it as possible. Crush the seeds in mortar and pestle, add to the bowl. Now add the green chilli, onions and the chopped coriander. Mix in some water to make a thick batter that holds the ingredients together. Heat the oil in a wok. Drop spoonfulls of the batter into the oil and fry till golden brown. Place on kitchen paper to allow the excess oil to run off. These can be eaten as they are or with a dip."
Gulab Jamun,50mins,177.44 powdered milk; 88.72 all-purpose flour; 1.84 baking soda; 22.18 butter; milk; 354.88 sugar; 177.44 water; 3-4 cardamom pods; 2-4 saffron threads; oil (for frying),"Make the dough by combining the milk powder, flour, butter. Add just enough whole milk to make a medium-hard dough. Divide the dough into 18-20 portions. Make balls by gently rolling each portion between your palms into a smooth ball. Place the balls on a plate. Cover with a damp yet dry kitchen towel. Heat the oil on high and then lower the heat to medium. Slip in the balls into the hot oil from the side of the pan, one by one. They will sink to the bottom of the pan, but do not try to move them. Instead, gently shake the pan to keep the balls from browning on just one side. After about 5 mins, the balls will rise to the surface. The Gulab Jamuns should rise slowly to the top if the temperature is just right. Now they must be gently and constantly agitated to ensure even browning on all sides. If the temperature of the oil is too high then the gulab jamuns will tend to break. So adjust the temperature to ensure that the gulab jamuns do not break or cook too quickly. The balls must be fried very slowly under medium temperatures. This will ensure complete cooking from inside and even browning. The syrup should be made earlier and kept warm. To make the hot sugar syrup add mix the 2 cups of sugar to 1 cup of water. Add 4-5 cardamom pods, slightly crushed and a few strands of Kesar (Saffron). Mix with a spoon and then heat at medium heat for 5-10 minutes until sugar is all dissolved in water. Do not overheat, that will caramelize the sugar. Transfer this hot syrup into a serving dish. Keep warm on stove. Add the fried gulab jamuns directly into the warm syrup. Leave gulab jamun balls in sugar syrup overnight for best results. They can be served warm or at room temperature."
Mango Mint Chutney,1hr 15mins,22.18 extra virgin olive oil; 1 yellow onion; 0.18 ml    red chili pepper flakes; 7.39 ginger; 680.38 mangoes; 7.39 curry powder; 22.18 honey; 22.18 white wine vinegar; 177.44 water; lemon; 59.08 mint,"To make the chutney, heat 2 tablespoons olive oil a medium sauce pan over medium heat. Add onions and cook until golden and caramelized, about 8-10 minutes. Stir in chili flakes, ginger, mango, curry powder, honey, white wine vinegar and water. Bring mixture to a boil, reduce to a simmer and cook until liquid has reduced by half and chutney has thickened, about 25-30 minutes. Remove from heat and stir in lemon zest and mint. Allow to cool to room temperature, then transfer to a jar and seal it tightly before refrigerating."
Puran Poli,1hr,"266.16 whole wheat flour; 133.08 water; 0.46 salt; 0.92 ml    oil; 11.09-27.73 ghee; 11.09 ghee; 44.36 ml   split pigeon peas, cooked in 1 cup water until softened; 44.36 sugar; 1-2 green cardamom pods; 1-1 saffron strands; 0.46 nutmeg","Method: Filling. Warm two tablespoons of ghee in a nonstick saucepan. As it melts, add the cooked pigeon peas, and stir until the water evaporates and the mixture thickens. Continually scrape the sides of the saucepan to ensure even distribution of heat or else the daal will burn. Add half the sugar and stir it in well. Adjust to desired sweetness. Reduce the heat and continue to thicken until the mashed pigeon peas resemble mashed potatoes. Add the crushed cardamom powder, saffron and nutmeg, stir well and portion into eight pieces. This filling can be made up to 3 days in advance, and stored in the fridge until ready to use. Bring it to room temperature to ease the rolling process. Method: Dough. Using a food processor fitted with an S blade or in a large bowl, combine the flour with salt and enough water to make a firm dough. The dough should be firm but not hard, moist but not wet, and similar in consistency of modeling clay. Carefully knead the oil into the dough and cover with a clear wrap or lid until ready to roll. Method: Rolling & Cooking. Start by rolling out a single ball of dough into a flat disk, as one would begin a paratha, no more than 5” diameter. Place the mashed sweetened pigeon peas mash, puran, in the center, pinch the dough and fold over the ball to cover the ball completely, like a dumpling. Ensure the seams are sealed. Lightly flatten this in the palm of your hand. Dredge the ball in dry flour and begin to roll again, this time very lightly to ensure the filling does not spill out. Roll to make an 8” poli using dry flour to dust as needed. When sufficiently rolled, dust off excess flour. Heat a shallow nonstick pan on medium-high heat. When ready to place a Puran poli in the pan, turn it down to medium heat. The side that hits the pan first is the first side. Watch the dough bubble slightly and move it around in the pan without flipping it over. Turn the Puran poli over approximately 1 minute later. The first side should be lightly spotted but not have dark spots. If this happens too quickly, reduce the heat. Repeat on the second side, and while the second side cooks, lightly baste the first side of the with ghee. Using a spatula, flip the paratha and repeat the basting. Both sides should have ghee—cooked once without ghee and once with ghee. Remove from heat and cover with a paper towel or a colander to help the steam evaporate. Once they have come to room temperature, the Puran Poli can be transferred to an appropriate storage container."
Ginger Lemonade Sekanji,15mins,709.77 water; 133.08 sugar; 3.69 rock salt; 7.39 ginger; 1.84 cumin; 177.44 lemon juice; mint,"Boil 1 cup water with sugar, rock salt, ginger, and cumin to make a simple syrup. Add remaining water and lemon juice. Chill to ice cold. Pour over ice or blend with ice."
Chicken Tikka Masala,1hr 45mins,"453.59 boneless chicken breast; 14.79 lemon juice; 2.46 red chili powder; 59.16 yogurt; 29.58 ml    double cream; 14.79 tomato paste; 14.79 lemon juice; 14.79 ml    mustard oil; 4.92 garlic paste; 4.92 ginger paste; 4.92 ml    coriander seed; 4.92 cumin seed; 4.92 paprika; 2.46 garam masala; 2.46 dried fenugreek leaves; salt; 88.74 ghee; 7.39 ml    coriander seeds; 5 cinnamon sticks; 2 bay leaves; 4 cloves; 4 green cardamom pods; 4 black peppercorns; 793.78 tomatoes; 88.74 ghee; 113.39 onions; 28.34 g    blanched almond, toasted almonds; 29.58 ml    desiccated coconut; 14.79 ml    double cream; 4.92 garlic paste; 4.92 ginger paste; 2 green chilies; 2.46 turmeric; 2.46 paprika; 2.46 ground cumin; 14.79 tomato paste; 9.85-14.78 honey; 1 cheese slice; 88.74 ml    double cream; 4.92 dried fenugreek leaves; 2.46 garam masala; salt; 29.58 coriander leaves","Mix ingredients for the first marinade. Add chicken pieces and marinate for 25-30 minutes. Dry-roast coriander seeds in frying pan over a medium-high heat for 2 minutes. Add cumin seeds and dry-roast for 30 seconds. Grind these spices in blender, or mortar & pestle, then mix them in non-metallic bowl with other ingredients for second marinade. Salt to taste, and add chicken pieces. Marinate in the refrigerator for at least 6 hours or overnight. Thread the marinated chicken pieces onto metal or pre-soaked wooden skewers. Pre-heat a grill, chargrill or grill pan to hot. Grill the skewered chicken, turning a few times, so that the chicken gets cooked evenly from all sides. Remove the chicken from the grill. Take the pieces off the skewers and place on a plate. For tomato masala heat ghee, or oil in frying pan. When the ghee is ready, turn the heat to medium-high and fry coriander seeds and cinnamon stick for 1 minute. Add bay leaves, cloves, green cardamoms and black peppercorns, and fry for 1 more minute. Now add halfed tomatoes and stir for 2-3 minutes. Add 125 ml of hot water, bring to the boil, reduce the heat to medium, and cover with a lid. After 20 minutes remove skin from the tomatoes and continue to simmer until the tomatoes have completely disintegrated. Now remove the cinnamon stick and bay leaves from tomato masala and blend it with a hand-held blender and pass it through a sieve to obtain smooth puree. Set this masala aside. For the gravy heat the ghee in frying pan. When the ghee is hot, add the onions and reduce the heat to medium. Fry for 10-15 minutes, or until onions are tender and golden. In the meantime, put almonds and desiccated coconut in blender and grind to powder. Now grind this almond-coconut powder with double cream and a little water to make a fine paste. When the onions are golden add garlic, ginger, and green chillies, and fry for 1 minute. Then add turmeric, paprika  and cumin and saute for 30 seconds. Put in the tomato masala, almond-coconut paste, tomato paste, honey and 125 ml of hot water. Cook for 10 minutes, or until sauce starts to thicken. Remove the curry sauce from the heat, and blend it again with the hand-held blender until smooth. Return to a clean pan, reheat again and add cheddar cheese. When the cheese is melted, slowly whisk in the cream. Add dry fenugreek leaves, garam masala and salt to taste. Put in the chicken pieces and stir for 3-4 minutes over medium heat. To finish the dish, stir in the chopped coriander leaves. Serve with naan bread or pilau rice."
Naan,40mins,283.90 flour; 1.47 baking powder; 1.47 salt; 141.95 plain low-fat yogurt,"Mix together flour, baking powder and salt. Stir in the yogurt till the dough is too stiff for a spoon, then knead it in the bowl till it holds together well, adding more flour if necessary. Turn it out on a floured surface and continue kneading for about 5 minutes till the dough feels smooth and elastic. Form the dough into a ball and put it in an oiled bowl, covered with a towel, to rest for an hour or longer. Take the dough out and cut it into 10 equal pieces. Form each into a ball and press the balls flat into round discs. Heat a large frying pan or griddle, either seasoned cast iron or a good non-stick finish. Heat your oven to about 500 and have the broiler on (this is how the original recipe states it - I know with my oven it's either 500 degree oven OR the broiler, but you get the idea. Take 1 piece of dough at a time and roll it out on a floured surface till it is about 8-10 inches across and less than 1/4 inch thick. Lay it on the hot griddle and cook it over a medium heat for 4-5 minutes (I don't think mine took that long). It will puff up in places or all over, and there will be some blackish-brown spots on the bottom. Slide a spatula under the naan and transfer it to the oven, directly onto the rack, for a minute or two, just till it finishes puffing up into a balloon and begins to color lightly on top. Remove naan from the oven and brush it lightly with melted butter if you like. Continue this way with all the dough, stacking the breads into a napkin-lined basket. Serve the breads hot, fresh from the oven, or let them cool and wrap them up. To reheat, wrap them in aluminum foil, in packets of 4 or 5 breads and put them in a 400 degree oven for 10-15 minutes."
Gajar Ka Halwa,1hr 30mins,"66.54 ghee; 0 carrot; 1 evaporated milk; 177.44 sugar; 38 g    khoya; 6 almonds, soaked in hot water,peeled and slivered; 22.18 water; 0.09 saffron; 0.92 cardamom powder; 0 to taste    edible silver foil, for garnishing  (optional)","Grate khoya and keep aside. Combine carrots and milk in a large heavy based pan. Bring to a boil. Lower the heat and cook the carrots, stirring constantly, until all the milk dries up. Pour ghee into the carrots. Add khoya. Saute for a few minutes. Add sugar. Continue to cook and stir the carrot mixture till it dries. Remove from heat when still moist. Stir in the saffron, cardamom powder and almonds, reserving a few for garnish along with silver foil. Reheat carrot halwa just before serving with a little milk. If not serving immediately, refrigerate carrot halwa and re-heat and serve when desired. Handy hint: If u dont have khoya, use 1 cup whole milk powder mixed with 1 tsp ghee and 1-2 tbsp water to get a dough like consistency. This makes 100gms of khoya."
