RecipeName,TimeToCook,Ingredients,Instructions
Chocolate Cake,1hr 15mins,"all-purpose flour, salt, baking powder, baking soda, cocoa powder, sugar, vegetable oil, hot coffee, milk, eggs, vanilla, milk, all-purpose flour, butter, shortening, sugar, vanilla","Preheat oven to 325°F. In a large mixing bowl, sift together dry ingredients. Add oil, coffee and milk and mix at medium speed for 2 minutes. Add eggs and vanilla and beat 2 more minutes. Expect batter to be thin. Pour into a 9"" x 13"" greased and floured pan or 2- 9"" round pans. Bake 9 x 13 pan for about 45 minutes or 9"" pans for about 30 minutes. Cool in pans for about 15 minutes and then cool completely on racks. While cake is cooling make the icing: Combine the milk and flour in a saucepan and cook over low heat until thick, whisking constantly. Cover and refrigerate until chilled. In a medium bowl, beat butter, shortening, sugar and vanilla until creamy. Add chilled milk and flour mixture and beat for 10 minutes. Frost cooled cake and enjoy! The frosting sounds intimidating, but it is worth it! By the way, for some reason, we prefer this cake chilled, right out of the refrigerator. The rich chocolate and cool frosting just seem to taste best this way."
Bananas Foster,15mins,"butter, brown sugar, cinnamon, banana liqueur, bananas, dark rum, vanilla ice cream","Combine the butter, sugar and cinnamon in a flambé pan or skillet. Place the pan over low heat either on an alcohol burner or on top of the stove, and cook, stirring, until the sugar dissolves. Stir in the banana liqueur, then place the bananas in the pan. When the banana sections soften and begin to brown, carefully add the rum. Continue to cook the sauce until the rum is hot, then tip the pan slightly to ignite the rum, or ignite with a long match. When the flames subside, lift the bananas out of the pan and place four pieces over each portion of ice cream. Generously spoon warm sauce over the top of the ice cream and serve immediately."
Snickerdoodles,34mins,"butter, granulated sugar, brown sugar, egg, vanilla, flour, salt, baking soda, cream of tartar, granulated sugar, cinnamon","In a large bowl, cream butter and sugars at high speed. Add egg, vanilla, and beat until smooth. In another bowl, combine flour, salt, baking soda, and cream of tartar. Pour dry ingredients into the wet ingredients, mix well. Preheat oven to 300° while you let dough rest 30-60 minutes in fridge. In a small bowl combine topping. Take about 2 1/2 tablespoons of dough and roll it into a ball. Roll this dough in the cinnamon/sugar mixture and press onto greased cookie sheet. Bake cookies 10-12 minutes, NO MORE. *Cookies may seem undercooked but will develop. Don't roll your dough into too big of a ball; they may not turn out in that much time if you do that. It happened to me. lol. If the cookies don't turn out, please try again. It's a very good cookie, it's just all a matter of getting the cooking time right."
Cream Cheese Brownies,1hr 15mins,"flour, baking powder, salt, butter, cocoa, sugar, eggs, vanilla, cream cheese, sugar, egg, vanilla","Preheat oven to 350 degrees F. Stir together flour, salt and baking powder. Melt butter and remove from heat. Stir in the cocoa. Beat in the eggs, sugar and the vanilla. Fold in the dry ingredients. Pour in 1/2 the batter in a 9"" greased square casserole dish or baking pan. Spread Cream Cheese Filling on top CAREFULLY! Top with remaining chocolate batter. Pull a knife through all of the layers to create a marbled effect. Bake covered with tin foil or a glass lid for 40-45 minutes or until a toothpick inserted into the brownies comes out clean. Cream Cheese Filling: Beat the cream cheese. Gradually add the 1/3 cup sugar, 1 egg and the 1/2 tsp vanilla until the filling is very smooth."
Strawberry Pie,15mins,"sugar, water, cornstarch, strawberry Jell-O gelatin dessert, strawberry, baked pastry shell","Bring sugar, water and cornstarch to a boil over medium high heat. Add Jell-O, stir until dissolved. Cool and then add strawberries. Refrigerate about 45 minutes or until it starts to congeal. Put in pie shell and cool completely. Top with whipped cream or ice cream to serve."
Extra-Chocolate Bundt Cake With Chocolate Glaze,1hr 5mins,"devil's food cake mix, instant chocolate pudding mix, semi-sweet chocolate chips, water, eggs, vanilla extract, cocoa, butter, powdered sugar, hot water","Cake: Preheat oven to 350°. Grease and flour bundt pan, set aside. In large mixing bowl, combine cake mix, pudding mix and chocolate chips. In another bowl, combine water, eggs, and vanilla mixing well. Add egg mixture to dry mixture and mix with spoon until just blended. Pour into prepared pan. Bake for 50 to 55 minutes or until cake tests done when wooden pick in center comes out clean. Cool 15 to 20 minutes before removing cake from pan. When completely cool, drizzle cake with Chocolate Glaze. Chocolate Glaze: Combine all ingredients in bowl. Mix with spoon until smooth."
Mexican Wedding Cookies,25mins,"butter, powdered sugar, flour, nuts, ground, vanilla","Combine all ingredients. Form into 1 1/2"" balls. Bake on cookie sheet at 350°F for about 10-15 minutes or until set. Roll in additional powdered sugar while still warm."
Homemade Yellow Cake,1hr 5mins,"cake flour, baking powder, salt, sugar, instant vanilla pudding, butter, butter flavor shortening, milk, vanilla extract, sour cream, eggs","Cream together butter, shortening, sugar, and pudding. Add eggs in one at a time. Add in sour cream and vanilla. Mix well. Sift together flour, baking powder, and salt. Add flour mixture into butter mixture alternately with milk starting and finishing with flour mixture. Pour into well greased and floured 13x9 pan. Bake at 350 for 40-50 minutes. Variation for White Cake: Use 4 egg whites instead of the 3 whole eggs. Variation for Spice Cake: Add 1-1/2 teaspoons cinnamon, 1/4+1/8 teaspoon ground allspice, 1/4+1/8 teaspoon ground cloves to the flour mixture. Variation for Chocolate Cake: Use chocolate pudding mix and 1/3 cup cocoa.  (I then up the milk a little.)."
Barefoot Contessa's Carrot Cake Cupcakes,1hr 15mins,"sugar, vegetable oil, pure vanilla extract, extra-large eggs, all-purpose flour, ground cinnamon, baking soda, kosher salt, carrots, raisins, walnuts, cream cheese, unsalted butter, pure vanilla extract, confectioners' sugar","Preheat the oven to 350°F Beat the sugar, oil, and vanilla together in the bowl of an electric mixer fitted with a paddle attachment. Add the eggs, 1 at a time. In another bowl, sift together the flour, cinnamon, baking soda, and salt. With the mixer on low speed, add 1/2 of the dry ingredients to the wet ingredients. Add the grated carrots, raisins, and walnuts to the remaining flour, mix well, and add to the batter. Mix until just combined. Line muffin pans with paper liners. Scoop the batter into 22 muffin cups until each is 3/4 full. Bake at 400°F for 10 minutes then reduce oven temperature to 350°F and cook for a further 35 minutes (**see note at bottom), until a toothpick comes out clean. Cool on a rack. Cream the cream cheese, butter, and vanilla in the bowl of an electric mixer fitted with a paddle attachment. Add the sugar and beat until smooth. When the cupcakes are cool, frost them generously and serve. **I don't need to cook these for the entire additional 35 minutes.  After I lower the temperature to 350°F; I start checking the muffins at around 15 minutes.  Just keep watching them until a toothpick inserted in center comes out clean."
Fried Oreos,20mins,"Oreo cookies, pancake mix, milk, eggs, oil","Preheat deep fryer to 375 degrees F. Combine pancake mix, milk, eggs and oil. Mix until there are no lumps. Dip Oreos into batter, make sure both sides are covered and put the Oreos into the deep fryer. You will need to watch these as the cookies tend to float- so be sure to turn them. Also be careful that they don't burn- you just want them golden brown. Remove the cookies and drain well. The cookies are best straight out of the deep fryer!"
