RecipeName,TimeToCook,Ingredients,Instructions
Pizza Muffins,7mins,"English muffins, tomato paste, cheese, ham, pineapple",Cut the muffins in half. spread with sauce. add toppings (as you would pizza). cook under griller until cheese melts.
Peanut Butter & Jelly Panini,6mins,"bread, peanut butter, grape jelly","Spread peanut butter liberally on one slice of bread. Spread jelly on the other slice. Put the two pieces together. Place the sandwich on a pre-heated panini maker. Close the top and cook three minutes. Remove, slice in half and serve. (If you have toddlers, you might wait a minute to let the bread cool slightly for them)."
Chorizo & Egg Burritos,25mins,"chorizo sausage, eggs, onion, flour tortillas, monterey jack cheese, sour cream, hot sauce , avocado","Fry a chopped onion and chorizo (broken up)together until onion is tender and translucent. add 6 to 8 beaten eggs after everything is nice and brown. Keep'em moving until cooked. Serve it on a sour cream coated pan-grilled tortilla, add a bit of grated Monterrey jack and avocado (if desired). Serve with more sour cream and hot sauce."
Bow Tie Pepperoni Pasta Salad,15mins,"bow tie pasta, pepperoni,  Italian salad dressing, parmesan cheese, italian seasoning","Bring a pot of lightly salted water to a boil. Add Bow Tie Pasta and cook for 8 to 10 minutes or all dente; drain. While pasta is boiling, brown pepperoni in skillet until crisp on both sides and place on paper towels to absorb the grease. Toss pasta with pepperoni, italian dressing, parmesian cheese and italian seasoning."
Veggie Delight Sandwich,20mins,"hoagie rolls,  mayonnaise, romaine lettuce, swiss cheese, green bell peppers, cucumbers, red onions, black olives, tomatoes, avocado, pepperoncini pepper","If you wish, the bread can be warmed first. Spread mayonnaise or mustard on each slice of bread. Divide and arrange the ingredients equally on both slices. Garnish with the onion sauce. Place both bread slices together and cut in half crosswise. Prep does not include baking the bread if that is what you choose to do. All amounts are estimated."
Classic BLT Sandwich,15mins,"bacon, white bread, iceberg lettuce, tomatoes, Hellmann's mayonnaise","Cook bacon until crispy, then drain on paper towels. Toast the 8 slices of bread. Spread 1 tablespoon mayo on each slice of toasted bread. (More or less, to taste). Add 1 slice of lettuce to 4 pieces of mayo-spreaded toast. Add 2 slices of tomato on top of lettuce. Arrange 3 slices of bacon evenly on top of tomato. (Break bacon slices in half to fit, if needed.). Add 1 slice of lettuce on top of bacon. Put the remaining 4 pieces of mayo-spreaded toast on top to finish the sandwiches. Enjoy! NOTE:  I also like to butter the toast slices before adding the mayo -- higher in fat, but tastier, in my opinion!"
Microwave Salmon Fillets,14mins,"salmon fillets, lemon pepper seasoning, butter","Thaw filet in refrigerator for several hours, or immerse package in cold water for 30 minutes. Place filet in small microwave casserole dish. Sprinkle with lemon pepper seasoning. Top with butter or margarine. Cover casserole and place in microwave. Cook on High for 3- 4 minutes. Repeat for remaining filets."
Simple Pasta Toss,15mins,"rotini pasta, boneless skinless chicken breast halves, olive oil, garlic cloves, salt, garlic powder, dried basil, dried oregano, sun-dried tomato, parmesan cheese","Cook and drain pasta as directed. While pasta is cooking, in a large pot, heat olive oil and saute chicken, garlic, salt, garlic powder, basil, and oregano until chicken is cooked. Add sun-dried tomatoes and cook for two minutes. Remove from heat and toss with pasta. Serve with grated Parmesan cheese if desired."
Baked Pesto Chicken,35mins,"chicken breast , basil pesto, plum tomatoes, mozzarella cheese",Preheat oven to 400 degrees F. Line baking sheet with heavy-duty foil. Place chicken and pesto in medium bowl; toss to coat. Place chicken on prepared baking sheet. Bake for 20-25 minutes or until chicken is no longer pink in center. Remove from oven; top with tomatoes and cheese. Bake for an additional 3-5 minutes or until cheese is melted.
Club Wrap,5mins,"whole wheat tortilla, mustard, cooked bacon, tomatoes, spinach, ham, turkey, cheese","Streak the tortilla with a bit of your fav sandwich dressing. Top with lettuce, then tomato. Lay down you meats and then top it off with the cheese. Wrap, slice in 1/2 and bag it up! Great Heated UP! or Made HOt!"
